Country,Attraction
France,Eiffel Tower
Spain,La Sagrada Familia
United States,Times Square
China,The Great Wall of China
Italy,Colosseum
Turkey,Hagia Sophia Mosque
Mexico,Museo Nacional de Anthropologia
Thailand,The Grand Palace
Germany,Neuschwanstein Castle
United Kingdom,Stonehenge
Japan,Mount Fuji
Austria,The Vienna Hofburg
Greece,The Acropolis
Malaysia,Petronas Twin Towers
Portugal,Mosteiro dos Jeronimos
Russia,Trans-Siberian Railway
Hong Kong,The Star Ferry
Poland,Wieliczka Salt Mine
Canada,Niagara Falls
Netherlands,Jordaan and Amsterdam's Canals
Vietnam,Halong Bay
India,The Taj Mahal
South Korea,Changdeokgung Palace
Croatia,Dubrovnik Old Town Walls
Hungary,Buda Castle
United Arab Emirates,Burj Khalifa
Indonesia,Beaches of Bali
Singapore,Marina Bay Sands
Czech Republic,Prague Castle
Ukraine,St. Sophia's Cathedral
Saudi Arabia,The ruins of Al Ula
Denmark,Tivoli Gardens
Morocco,Marrakesh Medina
Taiwan,National Palace Museum
Switzerland,The Matterhorn
Egypt,Pyramids of Giza
Ireland,Cliffs of Moher
South Africa,Kruger National Park
Australia,Sydney Opera House
Tunisia,El Djem Amphitheater
Bulgaria,Monastery of Saint Ivan of Rila
Belgium,Grand Place
Philippines,The White Beach
Sweden,Vasa Museum
Argentina,Iguazu Falls
Iran,Valley of the Stars
Kyrgyzstan,Issyk Kul Lake
Uzbekistan,Samarkand
Cambodia,Angkor Wat
